right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
-1.0787719890804173,0.8774370106704567,2.7557964854361456,2.6188887001173726,-2.8140877553757915,0.006135923151541655,0.11811652066717686
-0.6155097911390223,1.0465583925348236,2.6495683158750807,2.6177382145264585,-3.0518547774980305,-0.3305728597893067,0.1012427320004373
-0.011888351106111956,0.7393787397607694,2.746209105511862,2.0781604723877645,-3.0253936089070073,-0.5273058958356109,-0.1902136176977913
-0.09012137128826805,0.7505001004729387,2.869694558936638,2.032141048751202,-3.0526217678919734,-0.6412039693361029,-0.286470912137601
-0.32980586939536394,1.0465583925348236,2.774587750087742,2.0674226068725665,-3.0039178778766114,-0.5395777421386942,-0.24198546928892403
-0.6181942575178218,0.3094806239558822,2.2411459311005895,2.0137332792965768,-3.0514712823010592,-0.5671893963206317,0.2941408160770281
-0.5261554102446969,-0.20823789195544493,1.989956577084353,1.4684031092033123,-3.0526217678919734,-0.8958447801250816,0.2692136282738901
-0.6561602820179857,-0.6561602820179857,1.449611844551716,1.517106999218674,-2.6622236573751357,-1.1965050145506226,0.2665291618950906
-0.2906893593042859,-0.2462039164556089,1.424684656748578,0.9115680832009071,-2.31209254254029,-1.0507768397015085,0.2331650797585829
0.18522818013716372,-0.06289321230330196,1.4289031039152629,0.362402961137929,-1.4684031092033123,-1.1324613166564066,-0.09779127522769512
0.4233786974563742,-0.1177330254702055,1.4335050462789192,0.228946632591898,-1.6682041068253874,-0.7570195188214517,-0.44332044769888457
0.4298981158048872,-0.3681553890924993,1.437723493445604,0.0625097171063306,-1.6007089521584292,-0.6216457142905639,-0.3160000423043952
-0.27228158984966094,-0.016106798272796843,1.965029389281215,0.7351602925940846,-1.8557332581443793,-1.1401312205958338,-0.39500005288049406
-0.056373793954788955,-0.1062281695610649,1.98343715873584,0.4314320965927726,-1.2801069674903778,-1.0864418930198443,-0.3482136388499889
-0.2956747968649135,-0.0395000052880494,1.9611944373115016,0.5303738574113818,-2.052082798993712,-1.1205729655502947,-0.934194299822217
-0.4463884092746554,0.11926700625809092,1.9569759901448165,1.3755972715362448,-1.0262331470953419,-1.5715633171886063,-0.5660389107297177
-0.9361117758070737,-0.15416506918248407,1.7932235410380486,1.2275681255053024,-3.0526217678919734,-1.4124128104454947,0.05483981316690354
-0.7623884515790507,-0.8245146734884099,1.030835089458998,0.8981457513069098,-2.9973984595280982,-1.403975916112125,-0.05445631796993219
-1.048092373322709,-1.2640001692175808,1.1972720049445655,1.19573802415668,-3.0533887582859163,-1.570029336400721,0.10929613113683573
-1.5865196298704891,-0.8402379765642354,1.180398216277826,0.9940195505497481,-2.3834226491769614,-1.570029336400721,0.09203884727312482
-1.3863351370514427,-0.3485971340469603,1.1205729655502947,0.655393291624043,-2.4463158614802634,-1.5704128315976924,0.17640779060682257
-0.7915340865488735,-0.11850001586414821,1.1834661778535966,0.7232719414879726,-1.3065681360814012,-1.349903093339164,-0.2807184841830307
-0.8996797320947951,-0.013038836697026017,1.1865341394293676,0.9219224535191337,-1.3598739684604193,-1.3924710602029844,-1.1478011245352608
-0.934194299822217,-0.08130098175792692,1.3038836697026017,1.3468351317633933,-1.2601652172478675,-1.3426166845967085,0.24582042125863754
-1.04272344056511,0.5322913333962386,1.2513448277175263,1.2720535683539793,-2.0098983273268636,-1.236005019838672,-0.5813787186085718
-1.2126118128234196,0.6296991134269624,1.262849683626667,1.4990827249610206,-1.9849711395237253,-1.0626651908076203,-1.3798157187029296
-0.979830228261808,0.7900001057609881,1.2513448277175263,1.4005244593393829,-2.0087478417359494,-0.9004467224887379,-0.1177330254702055
-1.271670073157008,0.8206797215186964,1.3487526077482501,1.5497040909612392,-2.111141059327301,-0.9019807032766233,0.3378592685317624
-1.318456487187513,0.9499176028980425,1.4829759266882236,2.1356847519334674,-2.1456556270547225,-0.7911505913519021,-1.0039904256710033
-0.5219369630780121,0.6216457142905639,2.2741265180401258,1.8963837490233428,-1.9857381299176682,-1.3709953291725885,-1.1731118075353701
-0.6128253247602228,0.5092816215779573,2.1882235939185426,1.8875633594930017,-1.8756750083868896,-0.9265243958827899,-1.2459758949599273
-0.9311263382464462,0.6569272724119284,2.0079808513420065,2.0075973561450353,-2.1402866942971235,-1.3058011456874585,-0.6837719361999232
